year,constructorId,url,name,nationality
2021,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2021,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2021,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2021,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2021,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2021,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2021,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2021,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2021,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2022,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2022,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2022,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
2022,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
2022,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2022,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2022,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2022,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2022,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2022,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
