year,round,ConstructorId,points,status
2020,1,haas,0,Brakes
2020,1,racing_point,0,Engine
2020,1,renault,0,Overheating
2020,1,red_bull,0,Electronics
2021,1,mercedes,25,Finished
2021,1,red_bull,18,Finished
2021,1,mercedes,16,Finished
2021,1,mclaren,12,Finished
2021,1,red_bull,10,Finished
2021,1,ferrari,8,Finished
2021,1,mclaren,6,Finished
2021,1,ferrari,4,Finished
2021,1,alphatauri,2,Finished
2021,1,aston_martin,1,Finished
2021,1,alfa,0,Finished
2021,1,alfa,0,+1 Lap
2021,1,alpine,0,+1 Lap
2021,1,williams,0,+1 Lap
2021,1,aston_martin,0,+1 Lap
2021,1,haas,0,+1 Lap
2021,1,alphatauri,0,Retired
2021,1,williams,0,Retired
2021,1,alpine,0,Brakes
2021,1,haas,0,Accident
2022,1,ferrari,26,Finished
2022,1,ferrari,18,Finished
2022,1,mercedes,15,Finished
2022,1,mercedes,12,Finished
2022,1,haas,10,Finished
2022,1,alfa,8,Finished
2022,1,alpine,6,Finished
2022,1,alphatauri,4,Finished
2022,1,alpine,2,Finished
2022,1,alfa,1,Finished
2022,1,haas,0,Finished
2022,1,aston_martin,0,Finished
2022,1,williams,0,Finished
2022,1,mclaren,0,Finished
2022,1,mclaren,0,Finished
2022,1,williams,0,Finished
2022,1,aston_martin,0,Finished
2022,1,red_bull,0,Fuel pressure
2022,1,red_bull,0,Fuel pressure
2022,1,alphatauri,0,Power Unit
2010,2,mclaren,25,Finished
2010,2,renault,18,Finished
2010,2,ferrari,15,Finished
2010,2,ferrari,12,Finished
2010,2,mercedes,10,Finished
2010,2,mclaren,8,Finished
2010,2,force_india,6,Finished
2010,2,williams,4,Finished
2010,2,red_bull,2,Finished
2010,2,mercedes,1,Finished
2010,2,toro_rosso,0,Finished
2010,2,sauber,0,Finished
2010,2,lotus_racing,0,+2 Laps
2010,2,hrt,0,+5 Laps
2010,2,virgin,0,Suspension
2010,2,virgin,0,Hydraulics
2010,2,red_bull,0,Wheel
2010,2,force_india,0,Engine
2010,2,renault,0,Spun off
2010,2,hrt,0,Hydraulics
2010,2,toro_rosso,0,Collision
2010,2,williams,0,Collision
2010,2,sauber,0,Collision
2010,2,lotus_racing,0,Hydraulics
2011,2,red_bull,25,Finished
2011,2,mclaren,18,Finished
2011,2,renault,15,Finished
2011,2,red_bull,12,Finished
2011,2,ferrari,10,Finished
2011,2,ferrari,8,Finished
2011,2,sauber,6,Finished
2011,2,mclaren,4,Finished
2011,2,mercedes,2,Finished
2011,2,force_india,1,Finished
2011,2,force_india,0,+1 Lap
2011,2,mercedes,0,+1 Lap
2011,2,toro_rosso,0,+1 Lap
2011,2,toro_rosso,0,+1 Lap
2011,2,lotus_racing,0,+1 Lap
2011,2,virgin,0,+2 Laps
2011,2,renault,0,Accident
2011,2,hrt,0,+10 Laps
2011,2,virgin,0,Accident
